pk_geo;pk_client;line;track;category;direction;rail_typology_code;armament;fastening;rail_typology;Vcir;technical_location;inter_station;X;Y;created_by;data_version;huso
786025000;7860.25;1;2;Circulacion;D;D1;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724263.5356;4381101.27;jgomez;0;30
786050000;7860.5;1;2;Circulacion;D;D1;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724263.637;4381101.042;jgomez;0;30
786075000;7860.75;1;2;Circulacion;D;D1;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724263.7385;4381100.813;jgomez;0;30
786100000;7861;1;2;Circulacion;D;D1;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724263.8399;4381100.585;jgomez;0;30
786125000;7861.25;1;2;Circulacion;D;D1;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724263.9414;4381100.356;jgomez;0;30
786150000;7861.5;1;2;Circulacion;D;D1;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724264.0428;4381100.128;jgomez;0;30
786175000;7861.75;1;2;Circulacion;D;D1;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724264.1442;4381099.899;jgomez;0;30
786200000;7862;1;2;Circulacion;D;D1;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724264.2457;4381099.671;jgomez;0;30
786225000;7862.25;1;2;Circulacion;D;D1;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724264.3471;4381099.442;jgomez;0;30
786250000;7862.5;1;2;Circulacion;D;D2;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724264.4486;4381099.214;jgomez;0;30
786275000;7862.75;1;2;Circulacion;D;D2;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724264.55;4381098.985;jgomez;0;30
786300000;7863;1;2;Circulacion;D;D2;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724264.6515;4381098.757;jgomez;0;30
786325000;7863.25;1;2;Circulacion;D;D2;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724264.7529;4381098.528;jgomez;0;30
786350000;7863.5;1;2;Circulacion;D;D2;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724264.8544;4381098.3;jgomez;0;30
786375000;7863.75;1;2;Circulacion;D;D2;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724264.9558;4381098.071;jgomez;0;30
786400000;7864;1;2;Circulacion;D;D2;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724265.0572;4381097.843;jgomez;0;30
786425000;7864.25;1;2;Circulacion;D;D2;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724265.1587;4381097.614;jgomez;0;30
786450000;7864.5;1;2;Circulacion;D;D2;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724265.2601;4381097.386;jgomez;0;30
786475000;7864.75;1;2;Circulacion;D;D2;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724265.3616;4381097.157;jgomez;0;30
786500000;7865;1;2;Circulacion;D;D2;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724265.463;4381096.929;jgomez;0;30
786525000;7865.25;1;2;Circulacion;D;D2;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724265.5645;4381096.7;jgomez;0;30
786550000;7865.5;1;2;Circulacion;D;D2;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724265.6659;4381096.472;jgomez;0;30
786575000;7865.75;1;2;Circulacion;D;D2;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724265.7673;4381096.243;jgomez;0;30
786600000;7866;1;2;Circulacion;D;D2;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724265.8688;4381096.015;jgomez;0;30
786625000;7866.25;1;2;Circulacion;D;D2;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724265.9702;4381095.786;jgomez;0;30
786650000;7866.5;1;2;Circulacion;D;D2;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724266.0717;4381095.558;jgomez;0;30
