line;track;km;geometry_type;radius;arrow;theoric_width;radius_width;use_width;project_cant
1;2;7860.25;Recta;inf;0;0;0;0;0
1;2;7860.5;Recta;inf;0;0;0;0;0
1;2;7860.75;Recta;inf;0;0;0;0;0
1;2;7861;Recta;inf;0;0;0;0;0
1;2;7861.25;Recta;inf;0;0;0;0;0
1;2;7861.5;Recta;inf;0;0;0;0;0
1;2;7861.75;Recta;inf;0;0;0;0;0
1;2;7862;Recta;inf;0;0;0;0;0
1;2;7862.25;Recta;inf;0;0;0;0;0
1;2;7862.5;Recta;inf;0;0;0;0;0
1;2;7862.75;Recta;inf;0;0;0;0;0
1;2;7863;Recta;inf;0;0;0;0;0
1;2;7863.25;Recta;inf;0;0;0;0;0
1;2;7863.5;Recta;inf;0;0;0;0;0
1;2;7863.75;Recta;inf;0;0;0;0;0
1;2;7864;Recta;inf;0;0;0;0;0
1;2;7864.25;Recta;inf;0;0;0;0;0
1;2;7864.5;Recta;inf;0;0;0;0;0
1;2;7864.75;Recta;inf;0;0;0;0;0
1;2;7865;Recta;inf;0;0;0;0;0
1;2;7865.25;Recta;inf;0;0;0;0;0
1;2;7865.5;Recta;inf;5.03E-05;0;0;0;0
1;2;7865.75;Recta;inf;7.09E-05;0;0;0;0
1;2;7866;Recta;inf;1.16E-07;0;0;0;0
1;2;7866.25;Recta;inf;5.01E-05;0;0;0;0
1;2;7866.5;Recta;inf;0;0;0;0;0
1;2;7866.75;Recta;inf;5.01E-05;0;0;0;0
1;2;7867;Recta;inf;0;0;0;0;0
1;2;7867.25;Recta;inf;4.99E-05;0;0;0;0
1;2;7867.5;Recta;inf;0;0;0;0;0
1;2;7867.75;Recta;inf;5.01E-05;0;0;0;0
1;2;7868;Recta;inf;0;0;0;0;0
1;2;7868.25;Recta;inf;4.99E-05;0;0;0;0
1;2;7868.5;Recta;inf;0;0;0;0;0
1;2;7868.75;Recta;inf;5.01E-05;0;0;0;0
1;2;7869;Recta;inf;1.16E-07;0;0;0;0
1;2;7869.25;Recta;inf;4.99E-05;0;0;0;0
1;2;7869.5;Recta;inf;1.16E-07;0;0;0;0
1;2;7869.75;Recta;inf;5.01E-05;0;0;0;0
1;2;7870;Recta;inf;0;0;0;0;0
1;2;7870.25;Recta;inf;7.10E-05;0;0;0;0
1;2;7870.5;Recta;inf;5.03E-05;0;0;0;0
1;2;7870.75;Recta;inf;4.99E-05;0;0;0;0
1;2;7871;Recta;inf;1.16E-07;0;0;0;0
1;2;7871.25;Recta;inf;5.01E-05;0;0;0;0
1;2;7871.5;Recta;inf;1.16E-07;0;0;0;0
